Country,Area,Citrus_fruit,Eggs,Treenuts,Pulses,Coarse_grain,Meat,Roots_and_tubers,Vegetables,Milk,Fruit,Cereals
Cook Islands,Oceania,30,36,0,0,0,572,2633,1855,0,1236,0
Costa Rica,South America,294846,67500,34,11713,5358,282275,306750,204538,1161552,7070393,163669
Cote d'Ivoire,Africa,110067,41048,718613,59400,1156777,283403,12426600,711921,30186,2658285,3266110
Croatia,Europe,48447,47150,5486,4326,2500442,231042,182261,1212714,631422,358640,3244847
Cuba,South America,73370,122267,0,161513,351504,348827,1801041,2171849,581900,2005578,812374
Cyprus,Europe,83365,9733,407,776,19171,79496,107938,60400,276028,160730,37225
Czech Republic,Europe,0,87488,154,79595,2557163,506029,583560,202342,3176736,315411,6975004
Denmark,Europe,0,88674,4,90979,4350475,1874459,1806766,321945,5693890,51439,7005294
Djibouti,Africa,2676,0,0,2250,18,11694,0,39318,14908,4772,18
Dominica,South America,21626,323,0,128,191,1422,37527,7137,6988,57598,191
Dominican Republic,South America,177000,104000,652,76085,45575,480509,364350,556806,943472,4626562,672937
Ecuador,South America,175474,150000,0,17647,1355919,825199,376101,398397,1540701,8067969,2711410
Egypt,Middle east,4675660,454250,33941,279097,8351537,2152429,5404571,15572765,4471275,15153251,22051537
El Salvador,South America,89278,67000,779,92999,794800,162032,90226,101539,322497,308459,817563
Equatorial Guinea,Africa,0,322,0,0,0,626,228081,0,0,71676,0
Eritrea,Africa,0,2185,0,36740,283716,40868,53113,58716,164472,4834,312655
Estonia,Europe,0,12591,0,70966,469563,74364,88434,56017,798277,9153,919828
Eswatini,Africa,93306,1001,1048,2854,91880,26305,79943,13762,39726,139188,92676
Ethiopia,Africa,43684,52161,54005,3089693,20808687,788102,9420975,1688333,2773369,933711,25191722
Falkland Islands,South Atlantic,0,0,0,0,0,947,0,0,1500,0,0
Faroe Islands,Europe,0,0,0,0,0,637,1472,0,0,0,0
Fiji,Oceania,990,9148,0,1887,1233,44127,138022,34060,14549,30954,8284
Finland,Europe,0,74880,0,20100,2238833,395697,600300,261275,2397881,25598,2733533
France,Europe,83849,847868,62151,839800,26868789,5621700,7906744,5188987,26517354,9111009,62740329
French Guiana,South America,16640,689,0,0,417,1452,33895,25049,355,51084,3270
French Polynesia,Oceania,1521,2452,0,0,0,1947,10518,5041,1229,17032,0
Gabon,Africa,1429,2495,0,329,46006,40220,644465,52773,10813,315884,47835
Gambia,Africa,0,1014,2768,2392,168309,9311,13013,13830,75869,10366,222119
Georgia,Europe,66300,42020,24039,5912,264361,72133,237500,142100,561486,549000,371461
Germany,Europe,0,846000,18423,392807,17692300,8188920,8920800,3522993,33094080,3051942,37955800
Ghana,Africa,805973,41886,74251,418454,2804235,290563,30316716,828948,45177,5991558,3573636
Greece,Europe,1179555,90000,114810,73803,1741286,446972,468389,2551990,1898864,4792969,3036916
Greenland,Europe,0,0,0,0,0,505,0,0,0,0,0
Grenada,South America,3590,1415,0,711,365,1194,3605,26986,559,39698,365
Guadeloupe,South America,4779,1957,37,15,0,6317,11127,41836,161,81487,0
Guam,Oceania,182,748,209,0,56,365,2483,2773,0,5090,56
Guatemala,South America,377027,275000,36309,309373,1971285,477118,568605,1192331,494545,6235150,2004065
Guinea,Africa,242449,24778,11271,56963,1571293,129046,2108423,562885,233232,1347948,3911040
Guinea-Bissau,Africa,11272,1270,150934,3731,43224,28084,142589,41176,177053,114536,214463
Guyana,South America,30299,1768,0,1131,4284,49984,54531,228039,22275,172889,968756
Haiti,South America,150227,5120,0,227089,330000,109239,1688143,148298,106747,1466630,513000
Honduras,South America,294353,51600,2086,127755,729747,283029,65695,314030,691387,1598418,790693
Hong Kong,Asia,0,453,0,0,0,150884,46,37890,148,5033,0
Hungary,Europe,0,143439,6166,35245,9634802,1037355,330545,1375880,1982184,1651159,14892663
Iceland,Europe,0,4800,0,0,3900,35731,6020,4447,156980,23,3900
India,Asia,12546000,5236935,818425,25406026,46040000,7454329,54580281,128243182,187958197,98722276,318320000
Indonesia,Asia,2510442,2065460,243638,184359,30253938,3596531,19632690,11510309,1512182,20436395,113290938
Iran,Middle east,3486836,723600,1118526,560371,4156288,3086281,5321188,15071393,7646848,18898461,20646288
Iraq,Middle east,78144,48595,3343,9489,804476,191101,294778,950787,408592,1281893,4290645
Ireland,Europe,0,45271,0,22700,1348955,1139853,273000,221711,7810260,35503,1855755
Israel,Europe,497204,153072,9906,23044,138821,803723,553813,1379597,1634993,1400356,209321
Italy,Europe,2634484,736400,283957,233608,7901663,3667805,1315078,12297872,12744822,18008588,16346847
Jamaica,South America,145466,10571,0,2353,2177,148165,259580,274905,205497,370710,2177
Japan,Asia,886864,2627764,16500,53193,204346,4016429,3420038,9697234,7291823,3229743,10696746
Jordan,Middle east,104316,53201,2787,8765,70528,244200,177431,1614504,262094,506101,91196
Kazakhstan,Asia,806,279811,3625,815793,5768981,1050620,3806992,4014899,5678348,2533497,20196034
Kenya,Africa,199183,8355,38450,1149817,4385289,879126,3715764,2552762,4917893,3494577,4832214
Kiribati,Oceania,0,250,285,0,0,1857,11822,5767,0,10016,0
Kuwait,Middle east,536,135282,0,0,11207,108012,36212,308082,72571,104888,11216
Kyrgyzstan,Asia,90,29453,16674,203408,1126771,229753,1446610,1075818,1607991,460291,1783480
Laos,Asia,100280,16154,0,7300,981680,156518,2405650,1477283,61479,1414629,4566380
Latvia,Europe,0,45196,0,104400,625600,91469,426900,138947,982870,18126,2057200
Lebanon,Middle east,265348,25000,35494,10502,35327,180141,388550,815436,223728,781305,170738
Lesotho,Africa,0,1052,0,6324,115859,30290,130602,31779,131218,13360,124917
Liberia,Africa,7797,6645,2823,3883,0,37183,652005,136731,9372,212156,257995
Libya,Africa,85237,72664,29625,8981,103461,191541,348361,681929,228999,695662,242231
Liechtenstein,Europe,0,251,0,0,0,0,0,0,13794,196,0
Lithuania,Europe,0,54510,0,379907,1160601,250183,296229,228222,1571841,107937,3999500
Luxembourg,Europe,0,2077,30,1540,75827,23621,16211,1914,410842,20639,154236
Macao,Asia,0,425,0,0,0,11361,0,0,0,0,0
Madagascar,Africa,100781,22500,10605,133838,216333,347152,4076465,482723,544956,1276502,4252655
Mainland China,Asia,41381400,31282800,3845502,5013483,266466300,86463014,150143994,548993011,35166980,240750098,610035800
Malawi,Africa,221105,22937,4876,698082,2812126,561944,12205316,1760866,188985,3496430,2925168
Malaysia,Asia,36661,872367,16593,0,76362,2113716,82657,1158811,51927,1229792,2795349
Maldives,Asia,40,0,2171,104,203,870,2187,2561,0,4392,203
Mali,Africa,339198,21815,169489,392248,6962972,460730,983878,1993070,2121419,1915824,10159685
Malta,Europe,1631,5331,0,1708,2186,11630,7977,72650,43484,14078,14394
Martinique,South America,1357,2255,0,1539,0,3078,5492,34800,485,195157,0
Mauritania,Africa,0,5511,0,50476,100565,118094,8217,4720,797029,28207,340110
Mauritius,Africa,670,12800,4,0,387,52213,18925,59945,2500,23346,406
Mexico,South America,8437589,2871918,293674,1690121,32841770,7051277,2139964,16173812,12227335,22768278,36068979
Micronesia,Oceania,0,247,0,0,110,1487,11639,3507,0,2622,288
Moldova,Europe,0,37919,19695,46668,2258341,122512,174774,279184,417537,1650131,3421119
Mongolia,Asia,0,7596,5271,1391,17734,430466,168883,101032,818491,1701,453849
Montenegro,Europe,12555,5062,675,1634,4834,13282,26098,27189,153648,85656,7301
Montserrat,South America,97,71,0,0,138,938,249,865,3987,989,138
Morocco,Africa,2287351,396000,130348,349383,3005008,1345660,1887413,4414390,1786245,6089272,10388665
Mozambique,Africa,34927,50000,108140,347936,1761965,239705,9434918,706545,838327,906131,1917175
Myanmar,Asia,0,631000,1347,6183702,2461542,3528801,952551,4917050,1318040,2664888,28014055
Namibia,Africa,1909,3739,0,23169,146804,73763,380934,65329,110597,57116,152898
Nauru,Asia,0,28,0,0,0,79,0,463,0,464,0
Nepal,Asia,245175,75896,8222,365597,2829252,399988,3266328,3971515,2239031,1341334,9930178
Netherlands,Europe,0,704659,0,6074,355235,2936411,6029734,4824324,10892711,764737,1340532
Netherlands Antilles,South America,0,529,0,0,0,732,0,0,381,0,0
New Caledonia,Oceania,2218,2130,0,2,10304,6663,6483,8879,450,11452,10309
New Zealand,Oceania,29599,63804,0,21998,606754,1452644,522807,943248,21392000,1440259,977781
Nicaragua,South America,119272,36293,0,197212,455382,292028,323663,231481,594194,568083,820382
Niger,Africa,0,10316,0,2460349,5993449,182125,670937,3349911,1335571,644041,6099863
Nigeria,Africa,4071176,481437,105406,2675771,19341517,1451207,115704202,16386264,537159,11986249,26216277
Niue,Oceania,102,16,0,0,0,90,2640,142,56,922,0
North Korea,Asia,0,119741,28775,323204,2088839,346773,3125000,3289314,82443,1808361,4211839
North Macedonia,Europe,0,8907,5807,21658,337544,22255,181931,689822,463635,657580,598382
Norway,Europe,0,70439,0,2700,555043,361001,326400,195049,1593802,29836,678543
Oman,Middle east,7112,22272,0,0,61175,80033,15613,547711,232693,505114,64754
Pakistan,Asia,2247956,859739,39322,484484,6862767,3870230,5131848,5458237,45786000,7223283,42741865
Palestine,Middle east,34304,25020,4190,7315,15917,84319,60457,642871,154001,113406,50084
Panama,South America,40967,38270,0,10048,114305,322935,56112,54883,208798,630209,429251
Papua New Guinea,Oceania,0,5615,5598,3652,19292,501672,1886268,567660,202,2630544,20142
Paraguay,South America,331574,90603,0,83285,5452529,734282,3348449,148952,475391,737758,7069529
Peru,South America,1330789,452234,11594,255441,1891220,2015635,6908359,3121041,2087527,6657325,5644208
Philippines,Asia,155737,580516,237383,71575,7772483,3641656,3503805,6751152,14865,16766576,26838577
Poland,Europe,0,656873,15119,712137,16959467,4462900,7478184,5556785,14179210,5140130,26779782
Portugal,Europe,402924,143390,53285,9323,864173,851574,457502,2108648,2075373,1939684,1092570
Puerto Rico,South America,13677,14703,0,214,102,60420,6327,37687,342396,217930,288
Qatar,Middle east,166,5178,0,0,2293,24131,17,49442,39008,32170,2308
Reunion,Africa,4379,7309,0,2759,13770,44554,6081,42262,22319,64997,14075
Romania,Europe,0,285655,57126,191475,21366253,1151673,3022758,3230406,4439698,3494244,31553279
Russia,Asia,83,2519006,20044,3435630,36663504,10629378,22394960,13711071,30605522,5914576,109837875
Rwanda,Africa,10595,7800,0,466597,575368,95278,3247664,597183,252014,1902717,706175
Saint Kitts and Nevis,South America,0,240,0,231,0,232,704,813,0,2047,0
Saint Lucia,South America,1565,759,0,52,0,4678,5001,3271,1032,17918,0
Saint Pierre and Miquelon,North America,0,15,0,0,0,2,0,50,0,0,0
Saint Vincent and the Grenadines,South America,2320,555,0,1032,1030,1119,14676,5197,1033,73992,1030
Samoa,Oceania,711,324,0,0,0,5271,35244,1330,1959,46275,0
Sao Tome and Principe,Africa,0,225,0,0,941,1339,14084,3574,539,51642,941
Saudi Arabia,Middle east,40428,285800,0,15299,792454,762218,482305,735212,1294167,2276389,1378867
Senegal,Africa,50597,25534,12498,60523,983867,226682,433235,701013,149664,503156,1746643
Serbia,Europe,0,89803,15200,56920,7608603,514734,494704,695551,1590005,1745261,10550204
Seychelles,Africa,103,1123,0,0,0,1040,234,3352,90,2876,0
Sierra Leone,Africa,111613,11618,0,81753,109169,47104,182590,387959,174147,279480,1028954
Singapore,Asia,0,30504,0,0,0,125342,17,26839,0,10,0
Slovakia,Europe,0,73974,29,19941,2109835,152268,169953,105389,958124,106611,4037761
Slovenia,Europe,0,23821,1290,2526,479047,137171,85600,100575,629569,232082,600948
Solomon Islands,Oceania,0,587,332,6812,0,3484,202041,6211,3164,31303,2737
Somalia,Africa,24016,2639,0,26855,268238,188165,101439,105111,2151071,208950,274037
South Africa,Africa,2900962,453588,22740,83685,13100896,3241019,2553910,2573111,3752610,7248267,14971922
South Korea,Asia,647318,776098,72826,15627,195915,2498302,867844,9798089,2634350,3214816,5428929
South Sudan,Africa,19480,0,0,38304,745000,433800,172957,434535,3263243,530810,745000
Spain,Europe,6777999,840267,389847,670719,15564872,7028021,2077402,12629447,8122923,19331584,24362945
Sri Lanka,Asia,373048,110488,44756,17941,278270,215157,455328,969244,486803,1712559,4208101
Sudan,Africa,679474,65000,0,322527,7645000,986987,864437,3361745,4591000,3472587,8270000
Suriname,South America,24872,3671,0,116,85,14636,10676,26124,3500,100055,274001
Sweden,Europe,0,122800,0,82530,1635200,569733,720200,307090,2760230,49200,3255500
Switzerland,Europe,0,60648,2715,18466,384805,485699,417156,424558,3941900,403319,882055
Syria,Middle East,1272949,117771,118021,225570,905278,369151,618163,1769949,2229539,2583913,3239880
Taiwan,Asia,524090,392855,0,13145,177873,1531124,351576,2525630,433317,2836507,2134393
Tajikistan,Asia,5934,24766,5827,49616,349408,108011,964644,2166093,1037730,1224567,1218840
Tanzania,Africa,429884,110550,197269,2079509,7182953,536904,10667296,2601846,1646449,5616477,10304518
Thailand,Asia,1009675,1101633,36657,209195,5371203,2932944,32213100,2709248,653928,11325582,37564640
Timor-Leste,Oceania,1981,1121,0,11000,101564,36778,60079,34717,5313,18205,188212
Togo,Africa,15296,12106,7197,226949,1193254,72643,1974165,149566,93403,70957,1338743
Tokelau,Oceania,0,10,0,0,0,24,192,0,0,76,0
Tonga,Oceania,2886,350,0,0,0,2405,23284,27751,322,8326,0
Trinidad and Tobago,South America,13511,3550,0,3285,2781,68597,8705,15856,3456,70581,3367
Tunisia,Africa,535423,111250,68747,99376,762377,345521,423800,3071609,1393896,2102081,2262377
Turkey,Europe,4902052,962542,1136371,1276248,13455628,3668362,4551029,24137627,22120716,23598623,34395628
Turkmenistan,Asia,0,46898,1512,12904,58969,309941,293533,683001,1740730,650279,1188969
Tuvalu,Oceania,0,20,0,0,0,182,143,630,0,901,0
Uganda,Africa,0,45000,0,1083474,3472248,519318,4363722,1437128,1730771,4394439,3756632
Ukraine,Europe,0,937300,127455,954590,44387297,2382786,22503970,9517223,10302670,3413718,69109347
United Arab Emirates,Middle east,7653,57000,932,0,9056,170357,451,302114,165497,381310,9056
United Kingdom,Europe,0,791000,0,788242,7529346,4087453,5028000,2409461,15311000,716774,21084346
United States Virgin Islands,South America,0,180,0,0,0,732,0,0,2244,0,0
Uruguay,South America,216861,48906,0,6756,1586271,662119,167794,177813,2173000,422651,3386271
USA,North America,7038334,6466263,3105930,3406022,406494560,46832946,21850788,31740872,98716276,26015063,467951140
Uzbekistan,Asia,16771,417987,61255,58285,6086814,1205758,2911933,9126688,10415660,6146230,11718663
Vanuatu,Oceania,0,644,0,0,917,8180,53584,13593,3302,21916,917
Venezuela,South America,572184,173000,0,24287,1355964,1294958,915706,1188655,1816991,3275248,1850657
Vietnam,Asia,1510345,582280,2669942,294060,4877424,5227733,11598115,16317032,963463,9240654,48923673
Wallis and Futuna Islands,Oceania,48,45,0,0,0,381,4656,625,31,11810,0
Western Sahara,Africa,0,0,0,0,1857,2518,0,0,6230,0,1857
Yemen,Middle east,153916,55632,168,84865,372814,424876,249244,440216,346581,1092839,478317
Zambia,Africa,3987,52597,0,31752,2449083,321329,1267786,436239,499164,115091,2606609
Zimbabwe,Africa,138682,24697,6437,18346,908384,259091,320323,247640,421107,266145,950627
